epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1501.71,1.10259,2.8155,1.28857,0.49233,0.39752,0.42278,0.27398,1.16871,3.91309,1.3824,0.0673882,0.000329412,0.000329412
2,2980.39,1.21473,2.9267,1.3008,0.32074,0.30404,0.14276,0.09433,1.75277,4.27989,1.81805,0.0342557,0.000530209,0.000530209
3,4390.37,1.13107,1.95622,1.24185,0.65866,0.53894,0.60045,0.39825,1.22246,1.9925,1.25531,0.000989844,0.000597687,0.000597687
4,5733.73,0.93458,1.14853,1.10634,0.92485,0.81004,0.88133,0.72554,0.71508,0.87169,0.98363,0.00040006,0.00040006,0.00040006
5,7108.98,0.64903,0.73335,0.97487,0.94411,0.87161,0.90964,0.80338,0.55282,0.64838,0.90039,0.00020008,0.00020008,0.00020008
