epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.697,1.09961,2.53683,1.2134,0.30353,0.34553,0.24493,0.12642,1.4456,6.59576,1.48147,0.0676226,0.000327044,0.000327044
2,835.594,1.22666,2.59543,1.20101,0.51011,0.28184,0.26939,0.15276,1.46275,2.99766,1.46215,0.0344906,0.000528315,0.000528315
3,1314.32,1.2811,2.24965,1.18216,0.53642,0.57873,0.62965,0.42335,1.13856,1.94279,1.06417,0.0012252,0.000596266,0.000596266
4,1782.19,1.01777,1.25227,1.05154,0.91496,0.7545,0.82825,0.6281,0.91649,1.00825,1.00048,0.00040006,0.00040006,0.00040006
5,2191.35,0.75078,0.77217,0.9706,0.92421,0.82183,0.90135,0.75392,0.6509,0.708,0.89873,0.00020008,0.00020008,0.00020008
