epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.314,1.53683,2.3669,1.53846,0.40261,0.58541,0.42344,0.23492,1.65575,4.43104,1.60476,0.0679706,0.000323529,0.000323529
2,361.162,1.46733,1.24161,1.52679,0.78325,0.7501,0.79889,0.49162,1.29202,1.68052,1.377,0.0349446,0.000630851,0.000630851
3,552.39,1.50642,1.24701,1.54162,0.56147,0.73105,0.57656,0.33453,1.38853,3.95345,1.43769,0.00189216,0.000911773,0.000911773
4,716.866,1.4979,1.21758,1.54798,0.7148,0.62695,0.70935,0.42875,1.5865,2.99877,1.54808,0.0008812,0.0008812,0.0008812
5,940.19,1.44195,1.11031,1.50857,0.85325,0.76835,0.84874,0.53915,1.36992,1.09938,1.38055,0.0008416,0.0008416,0.0008416
6,1096.6,1.43334,1.09151,1.51234,0.90063,0.79695,0.87775,0.5497,1.40797,1.17301,1.32674,0.000802,0.000802,0.000802
7,1281.76,1.38728,1.07942,1.48071,0.92972,0.77309,0.88405,0.55429,1.38513,1.06288,1.31131,0.0007624,0.0007624,0.0007624
8,1386.13,1.38652,1.04228,1.47932,0.91994,0.82488,0.90103,0.58377,1.32856,0.9183,1.24955,0.0007228,0.0007228,0.0007228
9,1538.4,1.32065,0.95368,1.41907,0.94085,0.87017,0.92155,0.60077,1.29018,0.86041,1.26241,0.0006832,0.0006832,0.0006832
10,1721.06,1.34179,0.96843,1.41816,0.86514,0.83957,0.88971,0.55811,1.42162,0.80321,1.34227,0.0006436,0.0006436,0.0006436
11,1896.75,1.3404,0.92336,1.43288,0.93484,0.84861,0.92028,0.57426,1.36045,0.76464,1.27325,0.000604,0.000604,0.000604
12,2072.87,1.34382,0.89793,1.4212,0.91809,0.86028,0.93318,0.55827,1.49513,0.83002,1.33081,0.0005644,0.0005644,0.0005644
13,2268.14,1.28618,0.86843,1.40118,0.93403,0.88292,0.93169,0.59377,1.35552,0.78413,1.24709,0.0005248,0.0005248,0.0005248
14,2451.35,1.28057,0.8511,1.37755,0.92212,0.87442,0.91695,0.54499,1.50906,0.82428,1.34578,0.0004852,0.0004852,0.0004852
15,2642.07,1.26683,0.85582,1.37913,0.97767,0.86154,0.94177,0.61254,1.3036,0.71039,1.21617,0.0004456,0.0004456,0.0004456
16,2862.81,1.03493,0.64677,1.27713,0.94515,0.87072,0.91865,0.60752,1.2491,0.85464,1.22059,0.000406,0.000406,0.000406
17,3053.13,1.02509,0.62867,1.26389,0.93891,0.8536,0.91195,0.61884,1.28795,0.97346,1.22901,0.0003664,0.0003664,0.0003664
18,3206.86,1.01782,0.59646,1.25249,0.93012,0.86834,0.93147,0.63176,1.29912,0.71219,1.23164,0.0003268,0.0003268,0.0003268
19,3394.49,0.98995,0.55151,1.22875,0.93529,0.89153,0.93169,0.5721,1.46186,0.74712,1.31076,0.0002872,0.0002872,0.0002872
20,3555.72,0.96033,0.53618,1.22462,0.94746,0.91257,0.95419,0.61716,1.2755,0.66088,1.20363,0.0002476,0.0002476,0.0002476
21,3717.25,0.95207,0.53617,1.21074,0.97623,0.89771,0.94974,0.64032,1.22139,0.72451,1.15594,0.000208,0.000208,0.000208
22,3898.94,0.93055,0.50861,1.20183,0.96388,0.89292,0.94031,0.61393,1.40946,0.66896,1.26091,0.0001684,0.0001684,0.0001684
23,4060.62,0.906,0.47601,1.17214,0.97339,0.90745,0.94653,0.65105,1.22004,0.63729,1.14941,0.0001288,0.0001288,0.0001288
24,4177.6,0.88711,0.47014,1.17303,0.98837,0.89255,0.95032,0.69593,1.06506,0.55641,1.09052,8.92e-05,8.92e-05,8.92e-05
25,4333.8,0.87646,0.46322,1.17042,0.9836,0.90039,0.95208,0.64412,1.25113,0.58656,1.17127,4.96e-05,4.96e-05,4.96e-05
